Country,Job Title,Age Group,Quantity,Percentage
Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),[45-55),1,0.009708737864077669
Belgium,Automatic Data Processing Planner,[45-55),2,0.019417475728155338
Belgium,Automatic Data Processing Planner (ADP Planner),[40-45),1,0.009708737864077669
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),[55-70),2,0.019417475728155338
Belgium,Clinical Data Associate,[30-35),1,0.009708737864077669
Belgium,Clinical Data Associate,[45-55),2,0.019417475728155338
Belgium,Clinical Data Coordinator,[55-70),1,0.009708737864077669
Belgium,Crime Data Specialist,[30-35),1,0.009708737864077669
Belgium,Data Administrator,[30-35),2,0.019417475728155338
Belgium,Data Administrator,[45-55),1,0.009708737864077669
Belgium,Data Architect,[40-45),2,0.019417475728155338
Belgium,Data Architect,[45-55),1,0.009708737864077669
Belgium,Data Base Design Analyst,[45-55),1,0.009708737864077669
Belgium,Data Capture Specialist,[55-70),1,0.009708737864077669
Belgium,Data Collector,[40-45),1,0.009708737864077669
Belgium,Data Communications Analyst,[45-55),1,0.009708737864077669
Belgium,Data Coordinator,[40-45),1,0.009708737864077669
Belgium,Data Entry Associate,(18-25),1,0.009708737864077669
Belgium,Data Entry Representative,[55-70),1,0.009708737864077669
Belgium,Data Entry Specialist,[40-45),1,0.009708737864077669
Belgium,Data Management Associate,[30-35),1,0.009708737864077669
Belgium,Data Management Information Technology Specialist,[40-45),2,0.019417475728155338
Belgium,Data Manager,[45-55),1,0.009708737864077669
Belgium,Data Miner,[30-35),1,0.009708737864077669
Belgium,Data Officer,(18-25),1,0.009708737864077669
Belgium,Data Officer,[30-35),1,0.009708737864077669
Belgium,Data Officer,[40-45),2,0.019417475728155338
Belgium,Data Processing Consultant,[45-55),1,0.009708737864077669
Belgium,Data Processing Manager,[30-35),1,0.009708737864077669
Belgium,Data Processing Systems Analyst,[30-35),1,0.009708737864077669
Belgium,Data Processing Systems Analyst,[40-45),1,0.009708737864077669
Belgium,Data Processing Systems Project Planner,[40-45),2,0.019417475728155338
Belgium,Data Recovery Planner,[40-45),1,0.009708737864077669
Belgium,Data Scientist,(18-25),1,0.009708737864077669
Belgium,Data Scientist,[30-35),1,0.009708737864077669
Belgium,Data Scientist,[45-55),2,0.019417475728155338
Belgium,Data Security Administrator,[30-35),1,0.009708737864077669
Belgium,Data Security Administrator,[40-45),2,0.019417475728155338
Belgium,Data Security Analyst,[45-55),2,0.019417475728155338
Belgium,Data Storage Specialist,[45-55),1,0.009708737864077669
Belgium,Data Systems Manager,[45-55),1,0.009708737864077669
Belgium,Data Warehouse Analyst,[45-55),1,0.009708737864077669
Belgium,Data Warehouse Developer,[45-55),1,0.009708737864077669
Belgium,Data Warehouse Specialist,[40-45),2,0.019417475728155338
Belgium,Data Warehousing Manager,[45-55),2,0.019417475728155338
Belgium,Database Administration Associate,[45-55),1,0.009708737864077669
Belgium,Database Administration Associate,[55-70),1,0.009708737864077669
Belgium,Database Architect,[30-35),1,0.009708737864077669
Belgium,Database Consultant,[40-45),1,0.009708737864077669
Belgium,Database Consultant,[45-55),1,0.009708737864077669
Belgium,Database Coordinator,[40-45),1,0.009708737864077669
Belgium,Database Design Analyst,[45-55),1,0.009708737864077669
Belgium,Database Designer,[30-35),1,0.009708737864077669
Belgium,Database Designer,[40-45),1,0.009708737864077669
Belgium,Database Development and Administration Project Manager,[45-55),1,0.009708737864077669
Belgium,Database Engineer,[45-55),3,0.02912621359223301
Belgium,Database Management System Specialist (DBMS Specialist),[30-35),1,0.009708737864077669
Belgium,Database Management System Specialist (DBMS Specialist),[55-70),1,0.009708737864077669
Belgium,Database Manager,[30-35),2,0.019417475728155338
Belgium,Database Manager,[45-55),1,0.009708737864077669
Belgium,Database Marketing Analyst,[30-35),1,0.009708737864077669
Belgium,Database Marketing Analyst,[45-55),1,0.009708737864077669
Belgium,Database Security Administrator,[30-35),1,0.009708737864077669
Belgium,Database Software Technician,[40-45),1,0.009708737864077669
Belgium,Database Tester,[40-45),2,0.019417475728155338
Belgium,Director of Data Operations,[30-35),1,0.009708737864077669
Belgium,Director of Data Operations,[40-45),1,0.009708737864077669
Belgium,Director of Data Operations,[45-55),1,0.009708737864077669
Belgium,Electronic Data Processing Auditor (EDP Auditor),[55-70),1,0.009708737864077669
Belgium,Field Artillery Automated Tactical Data System Specialist,[45-55),1,0.009708737864077669
Belgium,Flight Data Technician,[30-35),1,0.009708737864077669
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),[30-35),1,0.009708737864077669
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),[45-55),1,0.009708737864077669
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),[55-70),1,0.009708737864077669
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),[40-45),1,0.009708737864077669
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),[45-55),1,0.009708737864077669
Belgium,Head of Information Systems and Data Processing,[40-45),1,0.009708737864077669
Belgium,Health Data Analyst,(18-25),1,0.009708737864077669
Belgium,Health Data Analyst,[45-55),2,0.019417475728155338
Belgium,Log Data Technician,[45-55),1,0.009708737864077669
Belgium,Marketing Database Analyst,[45-55),1,0.009708737864077669
Belgium,Medical Data Analyst,[45-55),1,0.009708737864077669
Belgium,Oracle Database Administrator (Oracle DBA),[45-55),1,0.009708737864077669
Belgium,Reference Data Expert,[40-45),1,0.009708737864077669
Belgium,SQL Database Administrator,[40-45),1,0.009708737864077669
