Country,Job Title,Age Group,Quantity,Percentage
Spain,Analytical Data Miner,[30-35),1,0.001718213058419244
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),(18-25),1,0.001718213058419244
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),[30-35),2,0.003436426116838488
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),[40-45),2,0.003436426116838488
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),[45-55),4,0.006872852233676976
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),[55-70),2,0.003436426116838488
Spain,Automatic Data Processing Planner,[30-35),1,0.001718213058419244
Spain,Automatic Data Processing Planner,[40-45),4,0.006872852233676976
Spain,Automatic Data Processing Planner,[45-55),3,0.005154639175257732
Spain,Automatic Data Processing Planner,[55-70),1,0.001718213058419244
Spain,Automatic Data Processing Planner (ADP Planner),[30-35),1,0.001718213058419244
Spain,Automatic Data Processing Planner (ADP Planner),[40-45),2,0.003436426116838488
Spain,Automatic Data Processing Planner (ADP Planner),[45-55),4,0.006872852233676976
Spain,Automatic Data Processing Planner (ADP Planner),[55-70),4,0.006872852233676976
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),[30-35),1,0.001718213058419244
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),[40-45),1,0.001718213058419244
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),[45-55),3,0.005154639175257732
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),[55-70),2,0.003436426116838488
Spain,Business Database Analyst,[30-35),1,0.001718213058419244
Spain,Business Database Analyst,[55-70),1,0.001718213058419244
Spain,Clinical Data Abstractor,[55-70),1,0.001718213058419244
Spain,Clinical Data Associate,[40-45),1,0.001718213058419244
Spain,Clinical Data Associate,[45-55),1,0.001718213058419244
Spain,Clinical Data Management Manager (CDM Manager),[40-45),1,0.001718213058419244
Spain,Clinical Data Management Manager (CDM Manager),[45-55),1,0.001718213058419244
Spain,Clinical Data Management Manager (CDM Manager),[55-70),1,0.001718213058419244
Spain,Clinical Data Manager,[45-55),1,0.001718213058419244
Spain,Clinical Data Manager,[55-70),1,0.001718213058419244
Spain,Clinical Data Specialist,[40-45),1,0.001718213058419244
Spain,Computer or Data Processing Systems Consultant,(18-25),1,0.001718213058419244
Spain,Computer or Data Processing Systems Consultant,[40-45),6,0.010309278350515464
Spain,Computer or Data Processing Systems Consultant,[45-55),1,0.001718213058419244
Spain,Computer or Data Processing Systems Consultant,[55-70),1,0.001718213058419244
Spain,Crime Data Specialist,[55-70),1,0.001718213058419244
Spain,Data Administrator,[40-45),1,0.001718213058419244
Spain,Data Administrator,[45-55),1,0.001718213058419244
Spain,Data Analysis Assistant,[45-55),1,0.001718213058419244
Spain,Data Analyst,[40-45),1,0.001718213058419244
Spain,Data Architect,[30-35),3,0.005154639175257732
Spain,Data Architect,[40-45),1,0.001718213058419244
Spain,Data Architect,[45-55),3,0.005154639175257732
Spain,Data Architect,[55-70),1,0.001718213058419244
Spain,Data Base Design Analyst,(18-25),1,0.001718213058419244
Spain,Data Base Design Analyst,[30-35),1,0.001718213058419244
Spain,Data Base Design Analyst,[40-45),2,0.003436426116838488
Spain,Data Base Design Analyst,[45-55),2,0.003436426116838488
Spain,Data Collector,[30-35),1,0.001718213058419244
Spain,Data Communications Analyst,[40-45),2,0.003436426116838488
Spain,Data Communications Analyst,[45-55),3,0.005154639175257732
Spain,Data Communications Software Consultant,[30-35),1,0.001718213058419244
Spain,Data Communications Software Consultant,[40-45),4,0.006872852233676976
Spain,Data Communications Software Consultant,[45-55),2,0.003436426116838488
Spain,Data Communications Software Consultant,[55-70),3,0.005154639175257732
Spain,Data Communications Technician,[45-55),1,0.001718213058419244
Spain,Data Communications Technician,[55-70),1,0.001718213058419244
Spain,Data Compiler,[30-35),1,0.001718213058419244
Spain,Data Compiler,[40-45),2,0.003436426116838488
Spain,Data Compiler,[45-55),1,0.001718213058419244
Spain,Data Control Clerk Supervisor,[45-55),1,0.001718213058419244
Spain,Data Conversion Operator,[55-70),1,0.001718213058419244
Spain,Data Coordinator,[30-35),2,0.003436426116838488
Spain,Data Coordinator,[40-45),2,0.003436426116838488
Spain,Data Coordinator,[45-55),5,0.00859106529209622
Spain,Data Coordinator,[55-70),1,0.001718213058419244
Spain,Data Entry Associate,[45-55),1,0.001718213058419244
Spain,Data Entry Machine Operator,[40-45),2,0.003436426116838488
Spain,Data Entry Machine Operator,[45-55),1,0.001718213058419244
Spain,Data Entry Operator,[30-35),1,0.001718213058419244
Spain,Data Entry Representative,[55-70),1,0.001718213058419244
Spain,Data Entry Specialist,[55-70),1,0.001718213058419244
Spain,Data Entry Supervisor,[55-70),1,0.001718213058419244
Spain,Data Examination Clerk,[45-55),1,0.001718213058419244
Spain,Data Input Clerk,[30-35),1,0.001718213058419244
Spain,Data Keyer,[55-70),1,0.001718213058419244
Spain,Data Management Associate,[30-35),1,0.001718213058419244
Spain,Data Management Associate,[40-45),4,0.006872852233676976
Spain,Data Management Associate,[45-55),4,0.006872852233676976
Spain,Data Management Associate,[55-70),1,0.001718213058419244
Spain,Data Management Information Technology Specialist,[40-45),2,0.003436426116838488
Spain,Data Management Information Technology Specialist,[45-55),1,0.001718213058419244
Spain,Data Management Information Technology Specialist,[55-70),2,0.003436426116838488
Spain,Data Management Manager,[45-55),1,0.001718213058419244
Spain,Data Miner,[30-35),1,0.001718213058419244
Spain,Data Miner,[45-55),4,0.006872852233676976
Spain,Data Modeler,[45-55),1,0.001718213058419244
Spain,Data Modeling Specialist,(18-25),1,0.001718213058419244
Spain,Data Modeling Specialist,[30-35),1,0.001718213058419244
Spain,Data Modeling Specialist,[40-45),2,0.003436426116838488
Spain,Data Modeling Specialist,[45-55),4,0.006872852233676976
Spain,Data Modeling Specialist,[55-70),1,0.001718213058419244
Spain,Data Officer,[40-45),1,0.001718213058419244
Spain,Data Officer,[45-55),1,0.001718213058419244
Spain,Data Operations Director,[30-35),1,0.001718213058419244
Spain,Data Operations Director,[45-55),2,0.003436426116838488
Spain,Data Operations Director,[55-70),1,0.001718213058419244
Spain,Data Processing Auditor,[30-35),1,0.001718213058419244
Spain,Data Processing Auditor,[45-55),2,0.003436426116838488
Spain,Data Processing Auditor,[55-70),1,0.001718213058419244
Spain,Data Processing Auxiliary Equipment Operator,[30-35),1,0.001718213058419244
Spain,Data Processing Auxiliary Equipment Operator,[45-55),1,0.001718213058419244
Spain,Data Processing Clerk,[40-45),2,0.003436426116838488
